season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2023,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2023-03-05,15:00:00Z
2023,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2023-03-19,17:00:00Z
2023,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2023-04-02,05:00:00Z
2023,4,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2023-04-30,11:00:00Z
2023,5,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2023-05-07,19:30:00Z
2023,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2023-05-28,13:00:00Z
2023,7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2023-06-04,13:00:00Z
2023,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2023-06-18,18:00:00Z
2023,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2023-07-02,13:00:00Z
2023,10,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2023-07-09,14:00:00Z
2023,11,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2023-07-23,13:00:00Z
2023,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2023-07-30,13:00:00Z
2023,13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2023-08-27,13:00:00Z
2023,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2023-09-03,13:00:00Z
2023,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2023-09-17,12:00:00Z
2023,16,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2023-09-24,05:00:00Z
2023,17,Qatar Grand Prix,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,2023-10-08,17:00:00Z
2023,18,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2023-10-22,19:00:00Z
2023,19,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2023-10-29,20:00:00Z
2023,20,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2023-11-05,17:00:00Z
2023,21,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,2023-11-19,06:00:00Z
2023,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2023-11-26,13:00:00Z
